date,total
2026-03-09,1281291.8560
2026-03-10,1284779.4592
2026-03-11,1286783.1485
2026-03-12,1287394.4943
2026-03-13,1289739.3323
2026-03-16,1292624.5794
2026-03-17,1295160.0678
2026-03-18,1293206.2470
2026-03-19,1291619.0995
2026-03-20,1290812.6679
2026-03-23,1293557.3843
2026-03-24,1292224.5786
2026-03-25,1292221.4715
2026-03-26,1290189.7409
2026-03-27,1286276.9234
2026-03-30,1287300.9530
2026-03-31,1289022.2040
2026-04-01,1286471.5964
2026-04-02,1286482.6683
2026-04-06,1293036.1172
2026-04-07,1291712.9817
2026-04-08,1289640.9181
2026-04-09,1294423.6972
2026-04-10,1297797.6208
2026-04-13,1294664.3768
2026-04-14,1299339.9513
2026-04-15,1302331.4226
2026-04-16,1302386.1594
2026-04-17,1310395.3945
2026-04-20,1314314.9052
2026-04-21,1314198.0054
2026-04-22,1318468.0355
2026-04-23,1321391.9484
2026-04-24,1321350.7701
2026-04-27,1318694.2871
2026-04-28,1316720.5320
2026-04-29,1315165.4531
2026-04-30,1315236.8007
2026-05-01,1322900.8726
2026-05-04,1329683.0879
2026-05-05,1335701.9274
2026-05-06,1336031.4312
2026-05-07,1332802.4083
2026-05-08,1330525.1834
2026-05-11,1330692.8881
2026-05-12,1328162.5082
2026-05-13,1319947.5759
2026-05-14,1321707.0898
2026-05-15,1318367.6313
2026-05-18,1309436.8431
2026-05-19,1305021.6389
2026-05-20,1304236.3405
